id,title,filtered_words_str,label
R129,New Report on Election,sign entire paper test fact age. family quality. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,believe charge free bad maybe class ground why. minute look ground color anything child those. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,begin dog like current space view. great lot summer. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,ready claim ahead beat space military now. face pull present help reason soon nation. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,phone friend whole involve spring explain seek gas. thank energy girl. trouble particularly. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,simply action relationship white heavy stand edge. prepare stuff page range. might member politics baby action matter. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,environment agent song lead economic worry more. attention indeed single general central million collection. example probably camera full. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,special author price third employee ever. since service participant beyond. travel resource air already again. experts discuss ongoing developments education.,REAL
R064,New Report on Research,movie pass teach. small station contain majority city enjoy rate. determine ground different soldier go part anyone. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,sister anyone necessary center reason list. buy former although hot include senior. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,quickly bar. bit home college watch state. human grow sing spring share age mother who. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,treatment general present star. feeling participant wife staff station. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,control event significant certainly human explain. management student trouble. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,area class conference party. across still specific whatever third local. eye probably benefit box threat office. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,reason answer everything thus. every film night seat work city. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,certain say agency. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,later deep increase bill. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,information close black. accept check first keep. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,idea gas fish form movie. place material part white card take reflect. tough billion response. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,rise business test tough between. material report music. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,air present memory indicate already white american. hold order since. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,future religious forget company yet say as. sure three thing far much little. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,behind six consider main manage letter. information people agent. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,else political fire soldier blood voice. thank wrong discuss understand artist should. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,necessary become see three major purpose lead. experience government range factor soon. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,remember always purpose law. high speech note. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,five start change ready century. study turn carry fine tax policy television allow. — shocking claims flat earth surface internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,accept black resource position. deal parent space american require. — shocking claims government cover-up surface internet.,FAKE
F183,Aliens Confirmed by Sources,idea oil exactly. heart across movement kid. cultural adult spring culture response figure sister. — shocking claims aliens surface internet.,FAKE
R063,New Report on Policy,land interesting large general image sound pm nation. born say even. analysis wonder name range listen enter. experts discuss ongoing developments policy.,REAL
R005,New Report on Election,military couple commercial later amount. face student performance growth happy. experts discuss ongoing developments election.,REAL
R084,New Report on Election,media act several appear win environmental million. hear owner full report example. amount place fill cover five piece. experts discuss ongoing developments election.,REAL
R124,New Report on Education,tax part hard ten. experts discuss ongoing developments education.,REAL
R118,New Report on Research,degree individual decide whole guy institution possible. war work value develop tell. believe level ball whatever parent newspaper. institution kitchen staff away. experts discuss ongoing developments research.,REAL
F001,Aliens Confirmed by Sources,audience candidate high rise reality station. across follow magazine view pretty. happen since husband behavior. — shocking claims aliens surface internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,economy capital nice fire team general machine. raise learn assume grow test physical. factor example south play treat. — shocking claims immortal jellyfish surface internet.,FAKE
F046,Mind Control Confirmed by Sources,current chair discover his. girl represent similar particular always. — shocking claims mind control surface internet.,FAKE
R103,New Report on Research,peace sing remain. human ability bring each. experts discuss ongoing developments research.,REAL
R037,New Report on Budget Report,position mrs pattern join position set do. indeed oil collection past. experts discuss ongoing developments budget report.,REAL
F193,Secret Cure Confirmed by Sources,half floor. edge coach sit theory build. customer behind build together woman. — shocking claims secret cure surface internet.,FAKE
R166,New Report on Election,fill range special. growth similar state act nice fine say. seek bill involve professor specific last analysis. experts discuss ongoing developments election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,chance value direction explain. way happen trade bill debate. morning statement general fill manage few. — shocking claims immortal jellyfish surface internet.,FAKE
R008,New Report on Economic Growth,actually care coach you. according prepare detail arm. experts discuss ongoing developments economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,floor team occur example exist. begin film son effort these. — shocking claims celebrity scandal surface internet.,FAKE
F028,Mind Control Confirmed by Sources,war card reveal small spend. image remain article set. — shocking claims mind control surface internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,oil traditional know executive accept. — shocking claims immortal jellyfish surface internet.,FAKE
R200,New Report on Public Health,kitchen standard billion those. meeting dark like reflect business break. relationship government reality inside political. experts discuss ongoing developments public health.,REAL
R225,New Report on Climate Change,avoid list piece inside. season field south several seek experience term. experts discuss ongoing developments climate change.,REAL
R062,New Report on Budget Report,name past fish million. year window investment able control. economy development place. experts discuss ongoing developments budget report.,REAL
F033,Hoax Confirmed by Sources,difference show economy work professional environment. increase newspaper improve pattern leader. laugh vote build. — shocking claims hoax surface internet.,FAKE
F012,Hoax Confirmed by Sources,catch shoulder trade tax. resource dinner will. — shocking claims hoax surface internet.,FAKE
R121,New Report on Research,receive whose try child any. head. seat economy brother tree statement base relationship process. experts discuss ongoing developments research.,REAL
F210,Aliens Confirmed by Sources,avoid chance wear travel management. eat society hour alone ever manager. debate leg tough change close many. — shocking claims aliens surface internet.,FAKE
F151,Hoax Confirmed by Sources,form congress day better one religious. director attorney book support. — shocking claims hoax surface internet.,FAKE
F099,Secret Cure Confirmed by Sources,land baby growth give whose him. ever data fund man politics. — shocking claims secret cure surface internet.,FAKE
R090,New Report on Technology Breakthrough,meet assume require move. major song environmental beat. compare government wife behavior interest continue. experts discuss ongoing developments technology breakthrough.,REAL
R125,New Report on Budget Report,prove change attack no. site education. experts discuss ongoing developments budget report.,REAL
R091,New Report on Climate Change,measure thousand information. kid difference responsibility them. experts discuss ongoing developments climate change.,REAL
R157,New Report on Climate Change,leave local letter hard maintain general. need million camera floor officer total. sort young sense vote. experts discuss ongoing developments climate change.,REAL
F098,Miracle Drug Confirmed by Sources,one sort small. keep parent everybody. — shocking claims miracle drug surface internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,standard person top idea. enjoy reflect word foot professor garden benefit. season might always lose. — shocking claims immortal jellyfish surface internet.,FAKE
R050,New Report on Economic Growth,rich office sister site president. difference couple bar approach. experts discuss ongoing developments economic growth.,REAL
R249,New Report on Climate Change,region laugh fight on. onto sing determine avoid respond address many. really agree share skin. experts discuss ongoing developments climate change.,REAL
R093,New Report on Election,open story member. population box laugh back. shake continue lawyer church coach town way. miss range attack. experts discuss ongoing developments election.,REAL
R131,New Report on Education,soon computer teacher wrong. matter cost across. experts discuss ongoing developments education.,REAL
F107,Flat Earth Confirmed by Sources,charge rule place information movement so. bill card design. community measure guy eight among appear series. — shocking claims flat earth surface internet.,FAKE
F153,Hoax Confirmed by Sources,piece beautiful lay special make. sing explain blood agreement suffer food. — shocking claims hoax surface internet.,FAKE
F091,Flat Earth Confirmed by Sources,two arrive. expect wonder information sign front fight early. attack thing station tough government. — shocking claims flat earth surface internet.,FAKE
R246,New Report on Economic Growth,office particularly find painting. remember thus lead. experts discuss ongoing developments economic growth.,REAL
F004,Secret Cure Confirmed by Sources,offer pick form task office positive herself. — shocking claims secret cure surface internet.,FAKE
F220,Celebrity Scandal Confirmed by Sources,social degree pay read measure newspaper. put brother power. thing young difficult military. page almost create i. — shocking claims celebrity scandal surface internet.,FAKE
F121,Hoax Confirmed by Sources,recognize rich drop day play floor. executive floor treat deal shoulder. — shocking claims hoax surface internet.,FAKE
F245,Mind Control Confirmed by Sources,political area never finish guy. budget lawyer suggest inside. — shocking claims mind control surface internet.,FAKE
R035,New Report on Climate Change,especially take buy book. identify fall compare effort top consider. experts discuss ongoing developments climate change.,REAL
R024,New Report on Education,whole source case. manage thing. experts discuss ongoing developments education.,REAL
F079,Miracle Drug Confirmed by Sources,old list environment stock try box. media party season share. — shocking claims miracle drug surface internet.,FAKE
R094,New Report on Policy,house others lawyer keep say. safe let short dark significant let. experts discuss ongoing developments policy.,REAL
R040,New Report on Policy,knowledge catch fly everyone produce. area across create impact one. experts discuss ongoing developments policy.,REAL
F170,Immortal Jellyfish Confirmed by Sources,whether call sense business wife treat similar. sound decision practice wrong simply college. wide population finally matter tax listen wide. college couple. — shocking claims immortal jellyfish surface internet.,FAKE
F130,Immortal Jellyfish Confirmed by Sources,night deal thing yeah. measure music place race. — shocking claims immortal jellyfish surface internet.,FAKE
R085,New Report on Economic Growth,impact community energy old recently deal. experts discuss ongoing developments economic growth.,REAL
R054,New Report on Budget Report,join collection including establish. office data human child forget book. fund media likely rock. experts discuss ongoing developments budget report.,REAL
R047,New Report on Technology Breakthrough,establish rich despite success none. democratic concern analysis wind theory evidence. city identify scene information enough. experts discuss ongoing developments technology breakthrough.,REAL
R199,New Report on Economic Growth,example step space kid bed. character agree happen among without individual meet. experts discuss ongoing developments economic growth.,REAL
F062,Miracle Drug Confirmed by Sources,report however song across glass provide life. factor sing material sit particularly. rise fly account exist local. — shocking claims miracle drug surface internet.,FAKE
R244,New Report on Technology Breakthrough,add consumer western try build able. number meet surface part. two beautiful none with. experts discuss ongoing developments technology breakthrough.,REAL
R107,New Report on Election,somebody hotel meet however bar type. spring course election message meet kid attack. authority mean hit buy unit cultural. plant finish side exist design quite. experts discuss ongoing developments election.,REAL
F148,Aliens Confirmed by Sources,southern health turn least prove board great. outside professional poor later safe live. — shocking claims aliens surface internet.,FAKE
F023,Mind Control Confirmed by Sources,hot expert simply however. — shocking claims mind control surface internet.,FAKE
R075,New Report on Budget Report,couple stay international visit. win rate prepare water within manage science. security rise level democrat. lose around institution age audience yeah. experts discuss ongoing developments budget report.,REAL
R220,New Report on Public Health,tough crime value newspaper. ball store. must pull issue police hotel sort assume response. budget agree finally purpose tend. experts discuss ongoing developments public health.,REAL
R099,New Report on Economic Growth,western population store particularly line. tree culture music air. matter every political least nice final time condition. experts discuss ongoing developments economic growth.,REAL
F066,Flat Earth Confirmed by Sources,turn drug network his. push office result drive explain. — shocking claims flat earth surface internet.,FAKE
F060,Flat Earth Confirmed by Sources,involve wind practice as. last check task language exactly mean. — shocking claims flat earth surface internet.,FAKE
F022,Government Cover-Up Confirmed by Sources,perhaps site off. talk thought music chair son investment administration. stock near wish treat teacher discuss value need. — shocking claims government cover-up surface internet.,FAKE
F127,Mind Control Confirmed by Sources,support partner unit recently ahead center minute. group away right. woman difference identify across. — shocking claims mind control surface internet.,FAKE
R212,New Report on Education,business imagine across candidate window. final federal door wife level contain whatever. experts discuss ongoing developments education.,REAL
F119,Mind Control Confirmed by Sources,suggest performance nation similar number. wish middle sign major appear. agency feeling mother indeed current change. suggest music treat finish. — shocking claims mind control surface internet.,FAKE
F103,Hoax Confirmed by Sources,see member. develop full trouble toward baby. section performance pressure decide daughter. — shocking claims hoax surface internet.,FAKE
F191,Mind Control Confirmed by Sources,country account fish cultural trade. western figure perform address. — shocking claims mind control surface internet.,FAKE
F002,Mind Control Confirmed by Sources,reason read box car outside nothing. — shocking claims mind control surface internet.,FAKE
R155,New Report on Election,spring believe call guess single for. feel oil expect minute. case knowledge hit cup forget. goal modern six close cup energy. experts discuss ongoing developments election.,REAL
R006,New Report on Technology Breakthrough,resource design serve everyone believe. guy top data. company chance appear suddenly across approach number author. experts discuss ongoing developments technology breakthrough.,REAL
F086,Government Cover-Up Confirmed by Sources,nature station inside city speak child. power last pass sing offer. suddenly treat fund since american long employee interview. young less option yet mission. — shocking claims government cover-up surface internet.,FAKE
R168,New Report on Election,cover area individual it. pick his. experts discuss ongoing developments election.,REAL
R077,New Report on Public Health,future list church debate they. consumer majority pressure true across create create. however glass mr box position management major. experts discuss ongoing developments public health.,REAL
F209,Hoax Confirmed by Sources,low spring modern. well employee argue remain conference how. — shocking claims hoax surface internet.,FAKE
R236,New Report on Public Health,head town administration research peace one economy. trade become loss production whom. turn fear family. experts discuss ongoing developments public health.,REAL
F186,Aliens Confirmed by Sources,true account girl company likely. big discuss arrive prove next program. resource world clearly evidence avoid total. — shocking claims aliens surface internet.,FAKE
R243,New Report on Public Health,apply investment leave white author. born play paper past water parent. experts discuss ongoing developments public health.,REAL
